arm,family,check_id,axis,json_path,want,got,status,detail
classic,f01,V7,tma,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",PASS,winners prove the tuner never selected it; table hits prove the grid never contained it. Under classic widen() returns [] so neither can appear
classic,f01,V7,warp_specialize,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",PASS,winners prove the tuner never selected it; table hits prove the grid never contained it. Under classic widen() returns [] so neither can appear
classic,f01,V8,clusters,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 44,PASS,every dict should collapse to {_total_cfgs: N}
classic,f01,V8,tma,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 44,PASS,every dict should collapse to {_total_cfgs: N}
classic,f01,V8,warp_specialize,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 44,PASS,every dict should collapse to {_total_cfgs: N}
classic,f01,V9,,$.fairness.grids.*.*.<coarse|tune>.n_tried,(corroboration only),14 of 14 offered-grid stage(s) differ,INFO,"the offered grid SHRANK, which is what this arm predicts (widen() stops adding the Hopper overlays) -- decode_bs1/fused/coarse 220->120; decode_bs1/unfused/coarse 220->120; decode_bs1024/fused/coarse 220->120; decode_bs1024/unfused/coarse 220->120"
classic,f01,V9b,,$.fairness.grids.<arm-only regime>.*.<coarse|tune>.n_tried,equal to the campaign's family-constant offered size,8 of 8 arm-only offered stage(s) differ,INFO,the offered grid changed on a regime the campaign has no grids block for -- decode_bs2/fused/coarse 220->120; decode_bs2/unfused/coarse 220->120; decode_bs4/fused/coarse 220->120; decode_bs4/unfused/coarse 220->120
classic,f01,V9d,,$.fairness.grids.*.*.<refine|joint|extra>.n_tried,(not comparable -- winner-derived),10 of 35 stage(s) differ,INFO,"refine is neighbours(<the coarse stage's timing winner>) (common.py:1069), joint is a deduplicated top_cfgs() product over measured stages, extra is refine_grid() over a measured top-k -- so these sizes move run-to-run on IDENTICAL code and hardware (Hopper-vs-Hopper: f03 16 of 28, f10 18 of 28, in both directions). Recorded so the drift stays visible, never asserted on. decode_bs1/fused/refine 12->11; decode_bs1/unfused/refine 12->13; decode_bs1024/fused/refine 16->13; decode_bs1024/unfused/refine 16->13"
classic,f01,V11,clusters,campaign vs this arm,campaign presence > 0 and arm == 0,"campaign 14, arm 0",PASS,a genuine campaign->arm collapse: this is the positive proof of engagement
classic,f01,V11,tma,campaign vs this arm,campaign presence > 0 and arm == 0,"campaign 47, arm 0",PASS,a genuine campaign->arm collapse: this is the positive proof of engagement
classic,f01,V11,warp_specialize,campaign vs this arm,campaign presence > 0 and arm == 0,"campaign 65, arm 0",PASS,a genuine campaign->arm collapse: this is the positive proof of engagement
classic,f01,LOG,,f01.classic.a1.log,"hopper feats [...] without ['clusters', 'tma', 'warp_specialize']",f01.classic.a1.log: [none],INFO,"every one of 1 banner(s) reports the axes this arm disables as off; the campaign's own transcript reads [tma,clusters,warp_specialize]"
classic,f03,V0b,,$._meta.results_dir,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,PASS,"the bench must have written into the staging tree, not into the campaign directory its own default points at; common.py:1342 records where record() actually wrote. exact path match"
classic,f03,V1,clusters,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.axes.clusters.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().clusters=False (source env); preflight probe thread_block_cluster_num_ctas=True'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f03,V2,clusters,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.axes.clusters.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f03,V1,tma,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.axes.tma.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().tma=False (source env); preflight probe tma_tensor_descriptor=False'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f03,V2,tma,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.axes.tma.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f03,V1,warp_specialize,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.axes.warp_specialize.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().warp_specialize=False (source env); preflight probe warp_specialize_tl_range=True'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f03,V2,warp_specialize,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.axes.warp_specialize.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f03,V4,tma,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.tma_form,none,none,PASS,scalar mirror of the capability; the campaign records 'device' in all seven files. hopper.py:377 tma_form()
classic,f03,V4,warp_specialize,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.ws_mode,none,none,PASS,scalar mirror; the campaign records 'range'. hopper.py:937 sets ws_mode = 'range' if warp_specialize else 'none'
classic,f03,V4,clusters,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm,n/a,no scalar mirror exists,INFO,clusters has no tma_form/ws_mode equivalent; recorded so the check list is complete rather than silently short
classic,f03,V3,,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.overlays_offered,[] (already empty),[],VACUOUS,the campaign already offered no overlay for this kernel; an empty list here shows nothing
classic,f03,V5,,$.fairness.h200_axes.per_family.f03_resadd_rmsnorm.kernel_cfg_keys,module advertises none,module advertises none,PASS,"a STATIC module attribute (H200_CFG_KEYS). If it changed, somebody edited the kernel modules between the two sessions and the arm comparison is not a comparison"
classic,f03,V6,,$._meta.device,NVIDIA H200,NVIDIA H200,PASS,note _meta.device is a string; indexing it as a dict throws TypeError
classic,f03,V6,,$.env.uuid,b2318e71-edbf-aa1b-dcf3-3cc3e6ea7db0,b2318e71-edbf-aa1b-dcf3-3cc3e6ea7db0,PASS,the staged file must name the card this driver pinned
classic,f03,V7,clusters,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",VACUOUS,the campaign never offered this axis to this family; a clean scan shows nothing
classic,f03,V7,tma,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",VACUOUS,the campaign never offered this axis to this family; a clean scan shows nothing
classic,f03,V7,warp_specialize,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",VACUOUS,the campaign never offered this axis to this family; a clean scan shows nothing
classic,f03,V8,clusters,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 66,VACUOUS,the campaign never offered this axis to this family; an absent count shows nothing
classic,f03,V8,tma,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 66,VACUOUS,the campaign never offered this axis to this family; an absent count shows nothing
classic,f03,V8,warp_specialize,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 66,VACUOUS,the campaign never offered this axis to this family; an absent count shows nothing
classic,f03,V9,,$.fairness.grids.*.*.<coarse|tune>.n_tried,identical to the campaign,0 of 21 offered-grid stage(s) differ,PASS,"the offered grid is byte-identical to the campaign's; a capped coarse grid cannot shrink, so this is corroboration, not proof"
classic,f03,V9b,,$.fairness.grids.<arm-only regime>.*.<coarse|tune>.n_tried,equal to the campaign's family-constant offered size,0 of 12 arm-only offered stage(s) differ,PASS,"closes the hole the V9 intersection leaves: these stages have no per-regime campaign counterpart, but their size is a code property the campaign pins on its own regimes, and the arm reproduces it"
classic,f03,V9d,,$.fairness.grids.*.*.<refine|joint|extra>.n_tried,(not comparable -- winner-derived),19 of 28 stage(s) differ,INFO,"refine is neighbours(<the coarse stage's timing winner>) (common.py:1069), joint is a deduplicated top_cfgs() product over measured stages, extra is refine_grid() over a measured top-k -- so these sizes move run-to-run on IDENTICAL code and hardware (Hopper-vs-Hopper: f03 16 of 28, f10 18 of 28, in both directions). Recorded so the drift stays visible, never asserted on. decode_bs1/add/refine 88->50; decode_bs1/fused/refine 56->44; decode_bs1/norm/refine 50->38; decode_bs1024/fused/refine 62->54"
classic,f03,LOG,,f03.classic.a1.log,"hopper feats [...] without ['clusters', 'tma', 'warp_specialize']",f03.classic.a1.log: [none],INFO,"every one of 1 banner(s) reports the axes this arm disables as off; the campaign's own transcript reads [tma,clusters,warp_specialize]"
classic,f04f05,V0b,,$._meta.results_dir,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,PASS,"the bench must have written into the staging tree, not into the campaign directory its own default points at; common.py:1342 records where record() actually wrote. exact path match"
classic,f04f05,V1,clusters,$.fairness.h200_axes.per_family.f04f05_norm_router.axes.clusters.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().clusters=False (source env); preflight probe thread_block_cluster_num_ctas=True'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f04f05,V2,clusters,$.fairness.h200_axes.per_family.f04f05_norm_router.axes.clusters.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f04f05,V1,tma,$.fairness.h200_axes.per_family.f04f05_norm_router.axes.tma.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().tma=False (source env); preflight probe tma_tensor_descriptor=False'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f04f05,V2,tma,$.fairness.h200_axes.per_family.f04f05_norm_router.axes.tma.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f04f05,V1,warp_specialize,$.fairness.h200_axes.per_family.f04f05_norm_router.axes.warp_specialize.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().warp_specialize=False (source env); preflight probe warp_specialize_tl_range=True'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f04f05,V2,warp_specialize,$.fairness.h200_axes.per_family.f04f05_norm_router.axes.warp_specialize.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f04f05,V4,tma,$.fairness.h200_axes.per_family.f04f05_norm_router.tma_form,none,none,PASS,scalar mirror of the capability; the campaign records 'device' in all seven files. hopper.py:377 tma_form()
classic,f04f05,V4,warp_specialize,$.fairness.h200_axes.per_family.f04f05_norm_router.ws_mode,none,none,PASS,scalar mirror; the campaign records 'range'. hopper.py:937 sets ws_mode = 'range' if warp_specialize else 'none'
classic,f04f05,V4,clusters,$.fairness.h200_axes.per_family.f04f05_norm_router,n/a,no scalar mirror exists,INFO,clusters has no tma_form/ws_mode equivalent; recorded so the check list is complete rather than silently short
classic,f04f05,V3,,$.fairness.h200_axes.per_family.f04f05_norm_router.overlays_offered,[],[],PASS,campaign had 2 overlay(s); h200_cfg_overlays() returns [] once every axis is unavailable
classic,f04f05,V5,,$.fairness.h200_axes.per_family.f04f05_norm_router.kernel_cfg_keys,"['warp_specialize', 'num_ctas']","['warp_specialize', 'num_ctas']",PASS,"a STATIC module attribute (H200_CFG_KEYS). If it changed, somebody edited the kernel modules between the two sessions and the arm comparison is not a comparison"
classic,f04f05,V6,,$._meta.device,NVIDIA H200,NVIDIA H200,PASS,note _meta.device is a string; indexing it as a dict throws TypeError
classic,f04f05,V6,,$.env.uuid,b2318e71-edbf-aa1b-dcf3-3cc3e6ea7db0,b2318e71-edbf-aa1b-dcf3-3cc3e6ea7db0,PASS,the staged file must name the card this driver pinned
classic,f04f05,V7,clusters,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",PASS,winners prove the tuner never selected it; table hits prove the grid never contained it. Under classic widen() returns [] so neither can appear
classic,f04f05,V7,tma,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",VACUOUS,the campaign never offered this axis to this family; a clean scan shows nothing
classic,f04f05,V7,warp_specialize,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",PASS,winners prove the tuner never selected it; table hits prove the grid never contained it. Under classic widen() returns [] so neither can appear
classic,f04f05,V8,clusters,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 88,PASS,every dict should collapse to {_total_cfgs: N}
classic,f04f05,V8,tma,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 88,VACUOUS,the campaign never offered this axis to this family; an absent count shows nothing
classic,f04f05,V8,warp_specialize,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 88,PASS,every dict should collapse to {_total_cfgs: N}
classic,f04f05,V9,,$.fairness.grids.*.*.<coarse|tune>.n_tried,(corroboration only),35 of 56 offered-grid stage(s) differ,INFO,"the offered grid SHRANK, which is what this arm predicts (widen() stops adding the Hopper overlays) -- decode_bs1/F4+topk/tune 301->198; decode_bs1/F4/tune 557->385; decode_bs1/F5+topk/tune 301->198; decode_bs1/F5/tune 557->385"
classic,f04f05,V9b,,$.fairness.grids.<arm-only regime>.*.<coarse|tune>.n_tried,equal to the campaign's family-constant offered size,20 of 32 arm-only offered stage(s) differ,INFO,the offered grid changed on a regime the campaign has no grids block for -- decode_bs2/router/tune 240->163; decode_bs2/F5/tune 557->385; decode_bs2/F4/tune 557->385; decode_bs2/F5+topk/tune 301->198
classic,f04f05,V9d,,$.fairness.grids.*.*.<refine|joint|extra>.n_tried,(not comparable -- winner-derived),0 of 28 stage(s) differ,INFO,"refine is neighbours(<the coarse stage's timing winner>) (common.py:1069), joint is a deduplicated top_cfgs() product over measured stages, extra is refine_grid() over a measured top-k -- so these sizes move run-to-run on IDENTICAL code and hardware (Hopper-vs-Hopper: f03 16 of 28, f10 18 of 28, in both directions). Recorded so the drift stays visible, never asserted on. "
classic,f04f05,V11,clusters,campaign vs this arm,campaign presence > 0 and arm == 0,"campaign 84, arm 0",PASS,a genuine campaign->arm collapse: this is the positive proof of engagement
classic,f04f05,V11,warp_specialize,campaign vs this arm,campaign presence > 0 and arm == 0,"campaign 70, arm 0",PASS,a genuine campaign->arm collapse: this is the positive proof of engagement
classic,f04f05,LOG,,f04f05.classic.a1.log,"hopper feats [...] without ['clusters', 'tma', 'warp_specialize']",f04f05.classic.a1.log: [none],INFO,"every one of 1 banner(s) reports the axes this arm disables as off; the campaign's own transcript reads [tma,clusters,warp_specialize]"
classic,f06,V0b,,$._meta.results_dir,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,PASS,"the bench must have written into the staging tree, not into the campaign directory its own default points at; common.py:1342 records where record() actually wrote. exact path match"
classic,f06,V1,clusters,$.fairness.h200_axes.per_family.f06_upgate_swiglu.axes.clusters.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().clusters=False (source env); preflight probe thread_block_cluster_num_ctas=True'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f06,V2,clusters,$.fairness.h200_axes.per_family.f06_upgate_swiglu.axes.clusters.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f06,V1,tma,$.fairness.h200_axes.per_family.f06_upgate_swiglu.axes.tma.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().tma=False (source env); preflight probe tma_tensor_descriptor=False'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f06,V2,tma,$.fairness.h200_axes.per_family.f06_upgate_swiglu.axes.tma.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f06,V1,warp_specialize,$.fairness.h200_axes.per_family.f06_upgate_swiglu.axes.warp_specialize.available + .evidence,available=False and evidence containing '(source env)',"available=False, evidence='hopper.caps().warp_specialize=False (source env); preflight probe warp_specialize_tl_range=True'",PASS,the ONLY per-family text proving the env override reached hopper.caps(); the campaign reads available=true with '(source preflight)'. Producer: glm52_h200/bench/__init__.py:1173
classic,f06,V2,warp_specialize,$.fairness.h200_axes.per_family.f06_upgate_swiglu.axes.warp_specialize.offered + .not_offered_because,offered=False and not_offered_because == 'the live capability probe says it is unavailable',"offered=False, not_offered_because='the live capability probe says it is unavailable'",PASS,non-vacuous for f03/f10 too: their campaign string is 'this kernel module advertises no cfg key for it' and it MUST change. Producer: glm52_h200/bench/__init__.py:1271-1274
classic,f06,V4,tma,$.fairness.h200_axes.per_family.f06_upgate_swiglu.tma_form,none,none,PASS,scalar mirror of the capability; the campaign records 'device' in all seven files. hopper.py:377 tma_form()
classic,f06,V4,warp_specialize,$.fairness.h200_axes.per_family.f06_upgate_swiglu.ws_mode,none,none,PASS,scalar mirror; the campaign records 'range'. hopper.py:937 sets ws_mode = 'range' if warp_specialize else 'none'
classic,f06,V4,clusters,$.fairness.h200_axes.per_family.f06_upgate_swiglu,n/a,no scalar mirror exists,INFO,clusters has no tma_form/ws_mode equivalent; recorded so the check list is complete rather than silently short
classic,f06,V3,,$.fairness.h200_axes.per_family.f06_upgate_swiglu.overlays_offered,[],[],PASS,campaign had 4 overlay(s); h200_cfg_overlays() returns [] once every axis is unavailable
classic,f06,V5,,$.fairness.h200_axes.per_family.f06_upgate_swiglu.kernel_cfg_keys,"['USE_TMA', 'TMA_B', 'TMA_MODE', 'warp_specialize', 'num_consumer_groups', 'num_buffers_warp_spec', 'num_ctas']","['USE_TMA', 'TMA_B', 'TMA_MODE', 'warp_specialize', 'num_consumer_groups', 'num_buffers_warp_spec', 'num_ctas']",PASS,"a STATIC module attribute (H200_CFG_KEYS). If it changed, somebody edited the kernel modules between the two sessions and the arm comparison is not a comparison"
classic,f06,V6,,$._meta.device,NVIDIA H200,NVIDIA H200,PASS,note _meta.device is a string; indexing it as a dict throws TypeError
classic,f06,V6,,$.env.uuid,b2318e71-edbf-aa1b-dcf3-3cc3e6ea7db0,b2318e71-edbf-aa1b-dcf3-3cc3e6ea7db0,PASS,the staged file must name the card this driver pinned
classic,f06,V7,clusters,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",PASS,winners prove the tuner never selected it; table hits prove the grid never contained it. Under classic widen() returns [] so neither can appear
classic,f06,V7,tma,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",PASS,winners prove the tuner never selected it; table hits prove the grid never contained it. Under classic widen() returns [] so neither can appear
classic,f06,V7,warp_specialize,$ (recursive cfg scan),0 winner and 0 table hits,"0 winner, 0 table",PASS,winners prove the tuner never selected it; table hits prove the grid never contained it. Under classic widen() returns [] so neither can appear
classic,f06,V8,clusters,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 55,PASS,every dict should collapse to {_total_cfgs: N}
classic,f06,V8,tma,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 55,PASS,every dict should collapse to {_total_cfgs: N}
classic,f06,V8,warp_specialize,$.fairness.grids.*.*.*.axis_counts,no key for this axis,0 offending stage(s) of 55,PASS,every dict should collapse to {_total_cfgs: N}
classic,f06,V9,,$.fairness.grids.*.*.<coarse|tune>.n_tried,(corroboration only),0 of 21 offered-grid stage(s) differ,INFO,"the offered grid is byte-identical to the campaign's; a capped coarse grid cannot shrink, so this is corroboration, not proof"
classic,f06,V9b,,$.fairness.grids.<arm-only regime>.*.<coarse|tune>.n_tried,equal to the campaign's family-constant offered size,0 of 12 arm-only offered stage(s) differ,PASS,"closes the hole the V9 intersection leaves: these stages have no per-regime campaign counterpart, but their size is a code property the campaign pins on its own regimes, and the arm reproduces it"
classic,f06,V9d,,$.fairness.grids.*.*.<refine|joint|extra>.n_tried,(not comparable -- winner-derived),12 of 21 stage(s) differ,INFO,"refine is neighbours(<the coarse stage's timing winner>) (common.py:1069), joint is a deduplicated top_cfgs() product over measured stages, extra is refine_grid() over a measured top-k -- so these sizes move run-to-run on IDENTICAL code and hardware (Hopper-vs-Hopper: f03 16 of 28, f10 18 of 28, in both directions). Recorded so the drift stays visible, never asserted on. decode_bs1/fused/refine 22->28; decode_bs1/unfused_gemm/refine 22->28; decode_bs1024/fused/refine 28->36; decode_bs1024/unfused_gemm/refine 24->30"
classic,f06,V11,clusters,campaign vs this arm,campaign presence > 0 and arm == 0,"campaign 26, arm 0",PASS,a genuine campaign->arm collapse: this is the positive proof of engagement
classic,f06,V11,tma,campaign vs this arm,campaign presence > 0 and arm == 0,"campaign 75, arm 0",PASS,a genuine campaign->arm collapse: this is the positive proof of engagement
classic,f06,V11,warp_specialize,campaign vs this arm,campaign presence > 0 and arm == 0,"campaign 78, arm 0",PASS,a genuine campaign->arm collapse: this is the positive proof of engagement
classic,f06,LOG,,f06.classic.a1.log,"hopper feats [...] without ['clusters', 'tma', 'warp_specialize']",f06.classic.a1.log: [none],INFO,"every one of 1 banner(s) reports the axes this arm disables as off; the campaign's own transcript reads [tma,clusters,warp_specialize]"
classic,f08f09,V0b,,$._meta.results_dir,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,/home/guancheng/zsh/fusion/results/h200/_control_arm/classic,PASS,"the bench must have written into the staging tree, not into the campaign directory its own default points at; common.py:1342 records where record() actually wrote. exact path match"
